"hugo_symbol","log2FoldChange"
"ALDH1L1",0.683240121719108
"ALDH1L1-AS1",0.924893066565855
"ALDH1L2",2.33517682633051
"ALDH2",1.91148497392744
"ALDH3A2",-0.851393122427378
"ALDH3B1",-1.45126436532492
"ALDH4A1",0.215230405761093
"ALDH5A1",-3.38414142407393
"ALDH6A1",-0.82316289089887
"ALDH7A1",-1.85463616389821
"ALDH8A1",0.37340641860805
"ALDH9A1",-1.36531909479845
"ALDOA",-0.581395176225621
"ALDOB",0.942942946710708
"ALDOC",0.658452061023919
"ALG1",-2.16006948167998
"ALG10",0.658501495844719
"ALG10B",0.0980506467468114
"ALG11",-0.11428191250992
"ALG12",-0.320727130989527
"ALG13",-0.0987407127465496
"ALG14",0.89008362498925
"ALG1L9P",-0.794765354008937
"ALG2",1.6846135403807
"ALG3",-1.74821291223373
"ALG5",-0.45962752121383
"ALG6",-0.962739302649657
"ALG8",-1.97970705201316
"ALG9",0.0799166596329136
"ALKBH1",0.433736477499559
"ALKBH2",-1.0684233142581
"ALKBH3",-1.06803772110613
"ALKBH3-AS1",-1.33061067370177
"ALKBH4",-0.698413186830912
"ALKBH5",-0.708874008676933
"ALKBH6",-0.533996300487708
"ALKBH7",-0.551015012244026
"ALKBH8",-0.834219292794626
"ALMS1",-2.5560976642722
"ALMS1-IT1",-0.475516650246693
"ALMS1P1",-1.79640133949443
"ALOX12",0.545662921477937
"ALOX12P2",1.56124904625325
"ALOX15",-2.5702268975913
"ALOX15B",5.27209005761985
"ALOX5",-2.43469106801596
"ALOX5AP",-0.204155070073274
"ALPK1",-0.242890125589737
"ALPK2",4.18775110623175
"ALPK3",3.6831409148212
"ALS2",0.333732546218922
"ALS2CL",3.36555529420567
"ALYREF",-0.324485418589411
"AMACR",0.561625731536439
"AMBRA1",0.987025349787674
"AMD1",0.696520844252381
"AMD1P4",1.92303855507836
"AMDHD1",-1.47267259635228
"AMDHD2",-0.0127770572165432
"AMER1",-0.535325654679777
"AMFR",0.745534042967798
"AMIGO1",-2.25268354789076
"AMIGO2",2.45374826614717
"AMIGO3",-1.6303123481754
"AMMECR1",0.44997695059998
"AMMECR1L",1.22906076581625
"AMN",-0.346134545897683
"AMN1",0.70812014422053
"AMN1-AS1",-0.883394911340582
"AMOT",1.88520388163618
"AMOTL1",-0.409366649434103
"AMPD2",-2.02775588801102
"AMPD3",2.20385350780782
"AMPH",-0.698005630037264
"AMT",-0.742751780992266
"AMY2B",-2.0569988192563
"AMZ1",2.054820512989
"AMZ2",0.715559276853673
"AMZ2P1",1.19009410607023
"ANAPC1",-0.239269037068294
"ANAPC10",0.212171079692078
"ANAPC11",-0.883046466074849
"ANAPC13",-1.33417485209249
"ANAPC15",-1.46615421532251
"ANAPC16",0.750736925413638
"ANAPC1P2",-0.556655185375914
"ANAPC2",-0.303550647666924
"ANAPC4",-0.0848699576007415
"ANAPC5",-0.414583368747876
"ANAPC7",-0.714882642794176
"ANG",-2.32255280967641
"ANGEL1",-1.85181369870883
"ANGEL2",0.436365386878769
"ANGPT1",1.01495562834976
"ANGPT2",0.488020668719726
"ANGPT4",-0.51673661264329
"ANGPTL4",2.34770681616036
"ANGPTL6",-0.380939463483597
